ID	name_txt
205670	Gymnopilus norfolkensis
247296	Harpalus punctatostriatus
484464	Trachycladus digitatus
648922	Cymothoe confusa
2602140	Antichiropus gibbus
373278	Decolopoda australis
1639783	Leandra santos-limae
1647895	Campylospermum auriculatum
181053	Erynia sciarae
222581	Diaporthe melonis
2623926	unclassified Ceratoscopelus
1653862	uncultured Beltrania
52021	Halomonas desiderata
2633410	unclassified Parentocirrus
208938	Draba senilis
210944	Aloidendron ramosissimum
167877	proteobacterium S072
2566397	Cephalops grootaerti
1642048	Rosa jacutica
1521237	Megalastrum lanuginosum
119223	Drosophila orientacea
305400	Chrysoporthe cubensis
224094	Protothaca jedoensis
2015450	Melastomastrum afzelii
69330	Chara aspera
83265	Aminobacter niigataensis
2773219	Hanguana neglecta
625281	Solenopsis stricta
292421	Zaluzianskya pulvinata
141417	Cyprinodon simus
2685032	unclassified Cerrena
2634089	unclassified Synasellus
2039386	Cleora repulsaria
541091	Pyrostria serpentina
141563	Galactophora crassifolia
439325	Giraffa giraffa
439905	Helicteropsis microsiphon
105353	Araeosoma leptaleum
294321	Schoenocaulon caricifolium
1556003	Eulocastra fasciata
65218	Polemochartus liparae
141719	Chelonistele amplissima
366011	Aeropetes tulbaghia
1714247	Scaptodrosophila rhina
531759	Norovirus sewage/GII/Toyama/Jun-2/2006/JP
2012223	Rhizophlyctis sp.
1978006	Pseudexostoma longipterus
465323	Pachyserica olafi
2762432	Scytinostroma praestans
2631323	unclassified Cephalostachyum
90168	Astragalus cibarius
2678928	unclassified Osteomugil
227758	Haplochromis nigroides
181044	Conidiobolus osmodes
446910	Saccolaimus flaviventris
568397	Kerria ruralis
173452	Euthora cristata
529587	Oncocalyx sulfureus
692965	Acalolepta degener
353909	Annulohypoxylon purpureonitens
1588324	Otiorhynchus pauxillus
138920	Simocybe sumptuosa
564368	Mycale grandis
2573042	Aeromachus jhora
266367	Anthochaera chrysoptera
241290	Halichoeres argus
2750177	Senecio microbasis
2594450	Stelis cymbisepala
1571002	Brachytome scortechinii
538959	environmental samples
2740562	Bryophila plumbeola
2622519	unclassified Plocamium
324089	Orthodontopsis bardunovii
641609	Tmesipteris sigmatifolia
402546	Guatteria curvinervia
476554	Streptomyces huangiae
459544	uncultured Tubeufiaceae
1719506	Peperomia congona
2626342	unclassified Decapauropus
316446	Lipochromis maxillaris
646458	Norovirus Hu/GIIb/05100687/2004/AUS
1993920	Xanthopimpla stemmator
2033361	Peltophryne dunni
2631987	unclassified Acanthocnemus
2645036	unclassified Hyperomma
1548711	Gyrovirus GyV7-SF
406843	Tubulicrinis hirtellus
314038	Podospora fibrinocaudata
197699	Galanthus woronowii
175430	Acanthurus mata
